epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,62.2182,0.58459,0.56123,1.69749,0.96546,1,0.995,0.89687,0.48425,0.37437,1.28435,0.00073025,0.00073025,0.00073025
44,63.5438,0.52689,0.57406,1.68939,0.92396,0.99207,0.995,0.88544,0.45327,0.37807,1.26103,0.000717875,0.000717875,0.000717875
45,64.8379,0.57104,0.57878,1.80269,0.92198,0.99131,0.995,0.90324,0.4249,0.37387,1.25313,0.0007055,0.0007055,0.0007055
46,66.2918,0.53511,0.5506,1.60619,0.95464,0.98932,0.995,0.89779,0.42671,0.37026,1.29629,0.000693125,0.000693125,0.000693125
47,67.5599,0.52383,0.53708,1.66707,0.84461,1,0.95333,0.84077,0.44253,0.38559,1.34101,0.00068075,0.00068075,0.00068075
48,68.9015,0.47722,0.5262,1.64738,0.824,1,0.95333,0.82282,0.4875,0.39189,1.4057,0.000668375,0.000668375,0.000668375
49,70.1675,0.48012,0.47764,1.47623,0.9598,0.875,0.95333,0.82372,0.48839,0.39625,1.41166,0.000656,0.000656,0.000656
50,71.4746,0.48456,0.49915,1.59853,0.94758,0.9922,0.995,0.87141,0.4418,0.39199,1.33827,0.000643625,0.000643625,0.000643625
51,72.7537,0.56633,0.56587,1.68473,0.96461,0.99052,0.995,0.89003,0.43185,0.37666,1.29956,0.00063125,0.00063125,0.00063125
52,74.0487,0.52053,0.55652,1.63029,0.96819,1,0.995,0.89619,0.42997,0.3505,1.25852,0.000618875,0.000618875,0.000618875
53,75.3504,0.50074,0.567,1.69726,0.94952,0.99806,0.995,0.90077,0.41898,0.34685,1.24531,0.0006065,0.0006065,0.0006065
54,76.6626,0.53906,0.57305,1.68214,0.91331,0.98895,0.995,0.89645,0.41433,0.38913,1.23369,0.000594125,0.000594125,0.000594125
