epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.211,1.35791,3.72346,2.14929,0.00356,0.66667,0.0488,0.01976,1.27127,3.94844,1.71887,4.287e-05,4.287e-05,4.287e-05
2,7.48931,1.34817,3.66766,2.37502,0.00831,1,0.23165,0.15415,0.87127,3.18887,1.57239,9.90397e-05,9.90397e-05,9.90397e-05
3,9.17524,1.07034,3.05484,1.96238,0.69688,0.41667,0.70958,0.49168,0.72472,2.45045,1.53347,0.000154078,0.000154078,0.000154078
4,10.9736,0.93686,2.41687,1.99049,0.61812,0.80224,0.83528,0.63549,0.77677,1.95507,1.61359,0.000207984,0.000207984,0.000207984
5,12.6253,1.01137,2.14798,2.11369,0.63703,0.81059,0.82556,0.62092,0.78958,1.91529,1.64616,0.000260758,0.000260758,0.000260758
6,14.3474,0.90976,1.79631,1.83793,0.56538,0.83333,0.81444,0.60286,0.80132,1.79171,1.70925,0.000312401,0.000312401,0.000312401
7,15.8776,0.97699,1.95227,1.9985,0.52163,1,0.97833,0.69993,0.7687,1.64047,1.64586,0.000362912,0.000362912,0.000362912
8,17.4845,0.89587,1.61576,1.90036,0.86207,0.87816,0.97833,0.7053,0.67215,1.67017,1.5372,0.000412291,0.000412291,0.000412291
9,19.1206,0.84199,1.48754,1.93,0.84888,0.99177,0.93944,0.7336,0.67836,1.93215,1.52146,0.000460538,0.000460538,0.000460538
10,20.6747,0.89854,1.47148,1.81246,0.95717,1,0.995,0.74212,0.72377,2.11512,1.58231,0.000507654,0.000507654,0.000507654
11,22.5546,0.84257,1.46451,1.94735,0.79252,1,0.93944,0.74471,0.6966,1.35251,1.6178,0.000553637,0.000553637,0.000553637
12,24.2376,0.81567,1.3078,1.8961,0.78089,1,0.91167,0.73779,0.61749,1.39313,1.53097,0.000598489,0.000598489,0.000598489
13,25.8926,0.90775,1.28313,1.97525,0.79072,0.92691,0.995,0.77311,0.57554,1.94277,1.43739,0.00064221,0.00064221,0.00064221
14,27.5721,0.81595,1.18697,1.80321,0.99107,0.94071,0.995,0.80014,0.58527,1.19316,1.41916,0.000684798,0.000684798,0.000684798
15,29.2969,0.74692,1.07984,1.7227,0.97764,1,0.995,0.77116,0.61221,0.86256,1.50568,0.000726255,0.000726255,0.000726255
16,31.431,0.79496,1.03667,1.84612,0.97941,1,0.995,0.78778,0.56711,0.98037,1.40952,0.00076658,0.00076658,0.00076658
17,33.4436,0.77627,1.05399,1.76654,0.97138,1,0.995,0.82296,0.51755,1.34672,1.3229,0.000805773,0.000805773,0.000805773
18,35.1527,0.89364,1.0894,1.93616,0.971,1,0.995,0.80423,0.56802,1.01671,1.31609,0.000843835,0.000843835,0.000843835
19,38.1964,0.82524,1.10097,1.93005,0.96557,0.98313,0.995,0.80422,0.66687,0.73551,1.50003,0.000880764,0.000880764,0.000880764
20,41.3617,0.78206,1.02966,1.89874,0.93883,1,0.995,0.77789,0.65845,0.97385,1.52989,0.000916562,0.000916562,0.000916562
21,43.8189,0.75479,0.94055,1.78227,0.72733,1,0.995,0.77374,0.57733,2.64649,1.55502,0.000951228,0.000951228,0.000951228
22,45.7559,0.7108,0.91292,1.77673,0.747,0.97341,0.995,0.79175,0.64726,1.81706,1.67888,0.000984762,0.000984762,0.000984762
23,48.1772,0.67438,0.76537,1.67171,0.88873,0.98827,0.995,0.78763,0.65707,0.9583,1.74694,0.00101717,0.00101717,0.00101717
24,50.9194,0.71972,0.92179,1.80128,0.85129,1,0.995,0.78471,0.65343,0.79923,1.69158,0.00104844,0.00104844,0.00104844
25,53.5416,0.79301,0.95257,1.82844,0.88422,1,0.995,0.79172,0.64435,0.72201,1.69358,0.00107857,0.00107857,0.00107857
26,56.2581,0.70556,0.94659,1.71916,0.967,1,0.995,0.77307,0.61058,0.59949,1.60608,0.00107532,0.00107532,0.00107532
27,58.6202,0.72563,0.85055,1.73539,0.97648,1,0.995,0.83526,0.53093,0.57871,1.43348,0.00106118,0.00106118,0.00106118
28,60.3634,0.63118,0.70861,1.61334,0.97829,1,0.995,0.83316,0.50369,0.55931,1.35746,0.00104703,0.00104703,0.00104703
29,61.9465,0.69998,0.77125,1.79216,0.96723,0.98095,0.995,0.81665,0.53891,0.59518,1.38501,0.00103288,0.00103288,0.00103288
30,63.7264,0.66923,0.91094,1.84113,0.87484,1,0.995,0.80013,0.57631,0.74225,1.44369,0.00101873,0.00101873,0.00101873
31,65.315,0.69586,0.79821,1.82975,0.82565,1,0.93944,0.75989,0.57098,0.69796,1.44677,0.00100459,0.00100459,0.00100459
32,67.3258,0.62826,0.7899,1.62175,0.98548,0.96511,0.995,0.83741,0.55586,0.52248,1.44216,0.00099044,0.00099044,0.00099044
