epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.73396,0.95345,3.47598,1.29056,0.00389,0.93333,0.1547,0.07605,0.89923,3.39083,1.21166,2.858e-05,2.858e-05,2.858e-05
2,3.56459,0.93608,3.49786,1.36553,0.00381,0.93333,0.2676,0.17638,0.88397,3.19979,1.13239,7.07426e-05,7.07426e-05,7.07426e-05
3,4.42785,0.80164,3.28807,1.22624,0.00401,1,0.4539,0.32347,0.73344,3.06462,0.99815,0.000112056,0.000112056,0.000112056
4,5.3548,0.64636,3.02937,1.12818,0.00395,1,0.50131,0.37618,0.69624,3.01737,0.94177,0.000152521,0.000152521,0.000152521
5,6.28327,0.63654,2.47078,1.10821,0.00383,1,0.60357,0.49637,0.62508,2.90656,0.87945,0.000192138,0.000192138,0.000192138
6,7.18597,0.66029,2.30224,1.14812,0.00355,0.93333,0.69261,0.59567,0.64259,2.73699,0.91026,0.000230905,0.000230905,0.000230905
7,8.04579,0.70253,1.98446,1.10415,0.00388,1,0.69375,0.59442,0.66628,2.66421,0.88124,0.000268823,0.000268823,0.000268823
8,8.88149,0.57775,1.62481,1.02466,0.00393,1,0.6076,0.45789,0.70442,2.66708,0.89863,0.000305893,0.000305893,0.000305893
9,9.73585,0.62313,1.76613,1.03669,0.00354,0.88889,0.5097,0.41222,0.98588,2.53825,1.08719,0.000342114,0.000342114,0.000342114
10,10.5667,0.54561,1.53749,0.99407,0.00377,0.88889,0.55042,0.44052,0.90963,2.5536,1.04246,0.000377486,0.000377486,0.000377486
11,11.4167,0.55421,1.35658,1.01244,0.00498,0.88889,0.64596,0.5043,0.84995,2.51784,1.07594,0.000412009,0.000412009,0.000412009
12,12.2644,0.62939,1.43469,1.0523,0.28998,0.88889,0.73084,0.53757,0.8915,2.47071,1.10133,0.000445684,0.000445684,0.000445684
13,13.1024,0.59095,1.41183,1.03007,0.83604,0.59063,0.87833,0.63556,0.88572,2.20964,0.97883,0.000478509,0.000478509,0.000478509
14,13.957,0.64081,1.33302,1.05622,0.98093,0.64855,0.92625,0.73655,0.83588,2.13891,0.97314,0.000510486,0.000510486,0.000510486
15,14.8134,0.63708,1.26883,1.03075,0.83596,0.90081,0.86233,0.64102,0.82043,2.31965,0.98684,0.000541614,0.000541614,0.000541614
16,15.6391,0.57781,1.18983,1.04177,0.79364,0.78681,0.82917,0.60128,0.90602,2.40731,1.05888,0.000571893,0.000571893,0.000571893
17,16.485,0.49238,1.18742,1.007,0.74109,0.46163,0.77247,0.59458,0.94413,2.4606,1.08675,0.000601323,0.000601323,0.000601323
18,17.3765,0.53785,1.19385,1.01353,0.72278,0.47743,0.71112,0.52797,1.0052,2.46515,1.13882,0.000629905,0.000629905,0.000629905
19,18.2025,0.57328,1.19597,1.04013,0.65315,0.45098,0.71388,0.53499,1.029,2.35008,1.10659,0.000657637,0.000657637,0.000657637
20,19.0083,0.66328,1.21352,1.07712,0.81349,0.75431,0.88972,0.62204,1.03371,2.10693,1.04529,0.000684521,0.000684521,0.000684521
21,19.798,0.51929,1.06746,0.97326,0.85235,0.77108,0.88291,0.57791,0.99287,1.96301,1.09271,0.000710556,0.000710556,0.000710556
22,20.6525,0.60756,1.11907,1.01589,0.91187,0.85644,0.87792,0.61625,0.86178,1.76423,1.08983,0.000735742,0.000735742,0.000735742
23,21.5077,0.6338,1.13187,1.01715,0.81682,0.84744,0.85012,0.55183,0.88142,1.73861,1.0842,0.000760079,0.000760079,0.000760079
24,22.3442,0.52626,1.18757,1.03152,0.69845,0.7366,0.90225,0.62811,0.8806,1.77823,1.09073,0.000783568,0.000783568,0.000783568
25,23.1466,0.56478,1.21678,1.04519,0.58195,0.80088,0.79556,0.64406,0.82437,1.85937,1.02921,0.000806208,0.000806208,0.000806208
26,23.9601,0.61467,1.13992,1.04642,0.83469,0.74735,0.93134,0.69375,0.8128,1.59207,1.21067,0.000827998,0.000827998,0.000827998
27,24.8,0.60893,1.06668,1.05206,0.59116,0.90621,0.8765,0.69659,0.82013,1.8786,1.24358,0.00084894,0.00084894,0.00084894
28,25.6588,0.59864,1.0215,1.05176,0.62094,0.87001,0.81469,0.60697,0.84495,1.92315,1.23871,0.000869033,0.000869033,0.000869033
29,26.462,0.49917,0.99769,1.0088,0.62094,0.87001,0.81469,0.60697,0.84495,1.92315,1.23871,0.000888278,0.000888278,0.000888278
30,27.4228,0.59463,1.04397,1.0273,0.71476,0.78468,0.81071,0.60627,0.91454,1.76862,1.38235,0.000906673,0.000906673,0.000906673
31,28.2437,0.63832,1.05096,1.05615,0.67914,0.87066,0.81344,0.63136,0.8207,1.50432,1.21487,0.00092422,0.00092422,0.00092422
32,29.092,0.51986,1.0944,1.02423,0.84049,0.72477,0.86102,0.69466,0.80542,1.32745,1.12354,0.000940918,0.000940918,0.000940918
33,29.9086,0.58396,1.01286,1.01017,0.84049,0.72477,0.86102,0.69466,0.80542,1.32745,1.12354,0.000956767,0.000956767,0.000956767
34,30.7286,0.54916,1.0279,0.99203,0.8121,0.90247,0.91037,0.71744,0.81738,1.20166,1.06792,0.000962146,0.000962146,0.000962146
35,31.5715,0.59927,0.94806,1.04,0.66243,0.87332,0.88054,0.65791,0.85155,1.41209,1.02769,0.000947999,0.000947999,0.000947999
36,32.4857,0.65753,1.08177,1.08962,0.84132,0.66284,0.86487,0.67594,0.93412,1.73745,1.18484,0.000933851,0.000933851,0.000933851
37,33.2655,0.61653,1.00241,1.06036,0.84132,0.66284,0.86487,0.67594,0.93412,1.73745,1.18484,0.000919704,0.000919704,0.000919704
38,34.1087,0.6184,1.00122,1.06003,0.75707,0.64159,0.8414,0.63455,0.8968,2.43101,1.05934,0.000905557,0.000905557,0.000905557
39,34.9265,0.59203,0.9879,1.04241,0.67656,0.58558,0.68155,0.45836,1.12301,2.69177,1.40305,0.00089141,0.00089141,0.00089141
40,35.7323,0.55011,0.91989,1.05014,0.47802,0.68015,0.62483,0.41858,1.15285,2.44869,1.40603,0.000877263,0.000877263,0.000877263
41,36.5278,0.56703,0.97499,1.0407,0.47802,0.68015,0.62483,0.41858,1.15285,2.44869,1.40603,0.000863116,0.000863116,0.000863116
42,37.3319,0.56655,0.8867,0.98064,0.6343,0.71355,0.64012,0.47013,1.1534,2.07424,1.37027,0.000848969,0.000848969,0.000848969
43,38.162,0.57857,0.8679,0.99643,0.76196,0.78441,0.73337,0.53685,1.16886,1.64387,1.41377,0.000834822,0.000834822,0.000834822
44,38.9949,0.50192,0.87217,1.00876,0.70171,0.70738,0.66915,0.53292,1.0753,1.57495,1.33065,0.000820675,0.000820675,0.000820675
45,39.8203,0.55918,0.84399,1.0195,0.70171,0.70738,0.66915,0.53292,1.0753,1.57495,1.33065,0.000806528,0.000806528,0.000806528
46,40.6721,0.43753,0.87154,0.97526,0.73527,0.81772,0.72257,0.54753,1.04393,1.57768,1.30992,0.00079238,0.00079238,0.00079238
47,41.5183,0.53312,0.93663,1.03268,0.80375,0.9275,0.79583,0.57154,0.98319,1.4619,1.16563,0.000778233,0.000778233,0.000778233
48,42.3193,0.52834,0.84186,0.98196,0.84942,0.88618,0.926,0.76598,0.80589,1.19867,0.98391,0.000764086,0.000764086,0.000764086
49,43.1711,0.51318,0.91762,0.98976,0.84942,0.88618,0.926,0.76598,0.80589,1.19867,0.98391,0.000749939,0.000749939,0.000749939
50,43.9831,0.55867,0.85906,1.018,0.7971,0.98719,0.94,0.76681,0.78327,1.20546,0.95426,0.000735792,0.000735792,0.000735792
51,44.8133,0.49605,0.83297,0.96782,0.89026,0.94001,0.995,0.72823,0.89549,1.00121,1.12283,0.000721645,0.000721645,0.000721645
52,45.6449,0.51464,0.89222,1.01046,0.82692,0.99333,0.951,0.66331,0.92217,1.16138,1.15187,0.000707498,0.000707498,0.000707498
53,46.4226,0.50703,0.88269,0.98999,0.82692,0.99333,0.951,0.66331,0.92217,1.16138,1.15187,0.000693351,0.000693351,0.000693351
54,47.2953,0.45464,0.803,0.9881,0.77076,0.83925,0.81915,0.67747,0.86534,1.32653,1.0788,0.000679204,0.000679204,0.000679204
55,48.1186,0.46361,0.80047,0.96512,0.76654,0.83155,0.81914,0.66055,0.95738,1.46256,1.28954,0.000665057,0.000665057,0.000665057
56,48.8964,0.46229,0.81907,0.96441,0.72819,0.83562,0.79958,0.64677,0.99199,1.54658,1.32801,0.000650909,0.000650909,0.000650909
57,49.948,0.44276,0.77816,0.98287,0.72819,0.83562,0.79958,0.64677,0.99199,1.54658,1.32801,0.000636762,0.000636762,0.000636762
58,50.7611,0.40739,0.72451,0.95813,0.7276,0.85232,0.80556,0.64951,0.89263,1.51212,1.12994,0.000622615,0.000622615,0.000622615
59,51.6265,0.46207,0.82874,0.96126,0.76484,0.99011,0.92625,0.67705,0.83882,1.23712,1.04221,0.000608468,0.000608468,0.000608468
60,52.4466,0.47267,0.84533,0.98686,0.80257,0.99364,0.94,0.74587,0.77355,0.90515,1.0221,0.000594321,0.000594321,0.000594321
61,53.2442,0.46378,0.81972,0.93404,0.80257,0.99364,0.94,0.74587,0.77355,0.90515,1.0221,0.000580174,0.000580174,0.000580174
62,54.0573,0.4153,0.7618,0.94423,0.97507,0.93497,0.995,0.81195,0.7754,0.78757,1.0494,0.000566027,0.000566027,0.000566027
63,54.9105,0.439,0.76672,0.96453,0.9462,0.99999,0.995,0.78959,0.78631,0.7725,1.05593,0.00055188,0.00055188,0.00055188
64,55.7461,0.46484,0.7108,0.98224,0.95085,0.99984,0.995,0.82782,0.775,0.78887,1.06639,0.000537733,0.000537733,0.000537733
65,56.5277,0.47669,0.84696,0.94742,0.95085,0.99984,0.995,0.82782,0.775,0.78887,1.06639,0.000523586,0.000523586,0.000523586
66,57.4,0.4491,0.66029,0.9696,0.95323,1,0.995,0.81018,0.808,0.80612,1.05717,0.000509438,0.000509438,0.000509438
67,58.2291,0.47145,0.7061,0.95655,0.93892,0.9938,0.995,0.80404,0.79309,0.79656,0.97729,0.000495291,0.000495291,0.000495291
68,59.0248,0.38337,0.73039,0.96118,0.88231,1,0.995,0.81199,0.81891,0.82887,0.94307,0.000481144,0.000481144,0.000481144
69,59.8091,0.41727,0.72111,0.95745,0.88231,1,0.995,0.81199,0.81891,0.82887,0.94307,0.000466997,0.000466997,0.000466997
70,60.6541,0.48778,0.83878,0.98864,0.89303,1,0.995,0.78989,0.82111,0.79081,0.92935,0.00045285,0.00045285,0.00045285
71,61.5166,0.39254,0.74355,0.95181,0.87537,1,0.995,0.82602,0.75897,0.80946,0.90622,0.000438703,0.000438703,0.000438703
72,62.3426,0.51998,0.72389,0.98239,0.86395,1,0.995,0.8541,0.66892,0.83357,0.87652,0.000424556,0.000424556,0.000424556
73,63.1638,0.42329,0.6865,0.94522,0.86395,1,0.995,0.8541,0.66892,0.83357,0.87652,0.000410409,0.000410409,0.000410409
74,63.9934,0.40212,0.62786,0.93773,0.86583,1,0.995,0.84826,0.64438,0.82179,0.88567,0.000396262,0.000396262,0.000396262
75,64.8077,0.4505,0.68155,0.93817,0.87717,1,0.995,0.85527,0.65143,0.78253,0.90784,0.000382115,0.000382115,0.000382115
76,65.6247,0.42798,0.67363,0.95095,0.8937,1,0.995,0.85411,0.65648,0.76022,0.92348,0.000367967,0.000367967,0.000367967
77,66.4255,0.4225,0.71755,0.95598,0.8937,1,0.995,0.85411,0.65648,0.76022,0.92348,0.00035382,0.00035382,0.00035382
78,67.2524,0.53316,0.76345,1.02279,0.90218,0.99142,0.995,0.8494,0.67267,0.74774,0.92213,0.000339673,0.000339673,0.000339673
79,68.083,0.40108,0.68301,0.9656,0.89731,0.98933,0.995,0.8241,0.6927,0.74658,0.91388,0.000325526,0.000325526,0.000325526
80,68.9094,0.37017,0.63571,0.9245,0.89973,0.93917,0.995,0.83803,0.7009,0.76847,0.90171,0.000311379,0.000311379,0.000311379
81,69.7061,0.37691,0.64543,0.9354,0.89973,0.93917,0.995,0.83803,0.7009,0.76847,0.90171,0.000297232,0.000297232,0.000297232
82,70.5158,0.40586,0.65862,0.94522,0.92751,0.90245,0.995,0.85589,0.6892,0.79564,0.83873,0.000283085,0.000283085,0.000283085
83,71.3378,0.37772,0.6395,0.93933,0.90028,0.94341,0.995,0.86867,0.67781,0.78464,0.80628,0.000268938,0.000268938,0.000268938
84,72.1523,0.33793,0.65067,0.93088,0.8665,1,0.995,0.86201,0.67572,0.75605,0.79538,0.000254791,0.000254791,0.000254791
85,72.9593,0.34593,0.64752,0.91546,0.8665,1,0.995,0.86201,0.67572,0.75605,0.79538,0.000240644,0.000240644,0.000240644
86,73.7718,0.35903,0.64957,0.95474,0.91846,1,0.995,0.87148,0.67729,0.72207,0.80404,0.000226497,0.000226497,0.000226497
87,74.5762,0.42779,0.7496,0.93855,0.95349,1,0.995,0.8698,0.69361,0.697,0.81855,0.000212349,0.000212349,0.000212349
88,75.3812,0.37483,0.60268,0.93256,0.96892,1,0.995,0.8698,0.71046,0.69159,0.8387,0.000198202,0.000198202,0.000198202
89,76.1708,0.37428,0.68343,0.96497,0.96892,1,0.995,0.8698,0.71046,0.69159,0.8387,0.000184055,0.000184055,0.000184055
90,77.0802,0.33286,0.56968,0.92048,0.97292,1,0.995,0.8698,0.72162,0.70322,0.84434,0.000169908,0.000169908,0.000169908
91,99.5596,0.35902,0.84451,0.8835,0.97257,1,0.995,0.87039,0.72926,0.70979,0.84381,0.000155761,0.000155761,0.000155761
92,100.411,0.35884,0.80654,0.88392,0.96826,1,0.995,0.86931,0.72788,0.71462,0.83831,0.000141614,0.000141614,0.000141614
93,101.218,0.32985,0.78543,0.87532,0.96826,1,0.995,0.86931,0.72788,0.71462,0.83831,0.000127467,0.000127467,0.000127467
94,102.078,0.4331,0.87578,0.96651,0.9628,1,0.995,0.86212,0.72876,0.72739,0.82911,0.00011332,0.00011332,0.00011332
95,102.895,0.32064,0.8114,0.87317,0.95679,1,0.995,0.85994,0.7287,0.72211,0.82966,9.91726e-05,9.91726e-05,9.91726e-05
96,103.699,0.33205,0.77644,0.88806,0.95209,1,0.995,0.86089,0.72225,0.72217,0.82559,8.50255e-05,8.50255e-05,8.50255e-05
97,104.491,0.33001,0.78166,0.89187,0.95209,1,0.995,0.86089,0.72225,0.72217,0.82559,7.08784e-05,7.08784e-05,7.08784e-05
98,105.314,0.34657,0.79198,0.89713,0.94995,1,0.995,0.862,0.71666,0.71472,0.82055,5.67313e-05,5.67313e-05,5.67313e-05
99,106.083,0.30169,0.7539,0.84084,0.94691,1,0.995,0.86733,0.71171,0.71406,0.81976,4.25842e-05,4.25842e-05,4.25842e-05
100,106.887,0.30234,0.77564,0.90164,0.9463,1,0.995,0.86733,0.71016,0.70978,0.82177,2.84371e-05,2.84371e-05,2.84371e-05
