epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.18104,1.0449,3.69701,1.29772,0.00289,0.78571,0.08236,0.04355,0.84375,3.524,1.14063,5.716e-05,5.716e-05,5.716e-05
2,4.66472,1.0062,3.63031,1.25402,0.00344,0.91071,0.38042,0.27589,0.68822,3.15701,0.93399,0.000127337,0.000127337,0.000127337
3,6.28352,0.81648,2.94528,1.10649,0.00383,0.95238,0.55428,0.43492,0.71308,2.96011,0.86901,0.000196099,0.000196099,0.000196099
4,7.79899,0.71621,2.44567,1.07431,0.00384,1,0.62749,0.51081,0.64592,2.876,0.85494,0.000263446,0.000263446,0.000263446
5,9.32622,0.69943,2.12526,1.01341,0.00404,1,0.62678,0.39525,0.67973,2.93785,0.91616,0.000329379,0.000329379,0.000329379
6,10.6899,0.62704,1.83891,1.02912,0.00435,1,0.53966,0.37084,0.84118,2.8593,0.97959,0.000393897,0.000393897,0.000393897
7,12.1949,0.71261,1.69898,1.13119,0.00377,0.88889,0.59405,0.4063,1.04012,2.73401,1.11092,0.000457,0.000457,0.000457
8,13.5498,0.64857,1.58064,0.9956,0.79961,0.51607,0.76269,0.49772,0.99416,2.61137,1.10162,0.000518688,0.000518688,0.000518688
9,14.9717,0.72858,1.71718,1.06224,1,0.20564,0.78217,0.53819,1.0045,2.48044,1.16236,0.000578962,0.000578962,0.000578962
10,16.3529,0.68397,1.49382,1.03609,0.73693,0.39478,0.82668,0.54622,1.083,2.37566,1.19331,0.000637821,0.000637821,0.000637821
11,17.79,0.68921,1.39383,1.0221,0.68064,0.64545,0.75769,0.5326,1.07753,2.24783,1.14321,0.000695266,0.000695266,0.000695266
12,19.1791,0.6884,1.5111,1.01846,0.76157,0.49945,0.70693,0.53585,1.02212,2.28091,1.15435,0.000751295,0.000751295,0.000751295
13,20.4869,0.7281,1.39863,1.05669,0.66667,0.45968,0.63196,0.5112,0.95144,2.22119,1.10794,0.00080591,0.00080591,0.00080591
14,21.8371,0.67839,1.36212,1.05251,0.72434,0.57944,0.66323,0.53867,1.01221,1.94385,1.15536,0.000859111,0.000859111,0.000859111
15,23.2308,0.68021,1.48605,1.05157,0.74357,0.572,0.74882,0.57251,0.8133,1.89738,1.00106,0.000910896,0.000910896,0.000910896
16,24.5867,0.71894,1.33116,1.06617,0.80517,0.74255,0.82214,0.63492,0.91645,1.61597,1.05695,0.000961267,0.000961267,0.000961267
17,25.9669,0.65088,1.39737,1.03996,0.57049,0.74374,0.74786,0.54065,1.01619,2.18429,1.15728,0.00101022,0.00101022,0.00101022
18,27.4039,0.65741,1.25257,1.02429,0.54489,0.55959,0.61755,0.48736,1.08999,2.31786,1.28076,0.00105776,0.00105776,0.00105776
19,28.8846,0.65511,1.2962,1.0175,0.63324,0.69109,0.66692,0.54198,0.9088,2.12919,1.14909,0.00110389,0.00110389,0.00110389
20,30.2339,0.71569,1.24515,1.03651,0.68386,0.94287,0.82361,0.64659,0.8142,1.78443,1.3421,0.0011486,0.0011486,0.0011486
21,31.5878,0.73896,1.31118,1.08806,0.77875,0.84278,0.89838,0.68616,0.81313,1.57038,1.32872,0.00114606,0.00114606,0.00114606
22,32.9706,0.61783,1.24613,0.98436,0.83794,0.87294,0.87711,0.66964,0.8495,1.47146,1.13668,0.00113191,0.00113191,0.00113191
23,34.4127,0.74189,1.24842,1.0739,0.68715,0.71839,0.7655,0.62614,0.92257,1.70516,1.2933,0.00111776,0.00111776,0.00111776
24,36.2081,0.66453,1.20123,1.0558,0.71391,0.78642,0.74398,0.53076,1.08353,1.81851,1.40973,0.00110362,0.00110362,0.00110362
25,37.7084,0.66273,1.18008,1.02691,0.71468,0.70275,0.65657,0.50468,1.06881,1.69623,1.36474,0.00108947,0.00108947,0.00108947
26,39.0848,0.65267,1.23004,1.03178,0.73744,0.694,0.68909,0.52289,1.0677,1.54883,1.31647,0.00107532,0.00107532,0.00107532
27,40.5046,0.61028,1.08331,1.025,0.75549,0.69192,0.70931,0.53757,1.08149,1.60384,1.33488,0.00106118,0.00106118,0.00106118
28,42.182,0.66037,1.13294,1.06125,0.66104,0.70172,0.65411,0.49493,1.09174,1.79242,1.40305,0.00104703,0.00104703,0.00104703
29,43.7829,0.62933,1.11083,1.03386,0.67132,0.77778,0.69134,0.54462,1.00545,1.67989,1.30055,0.00103288,0.00103288,0.00103288
30,45.2794,0.59625,0.98364,1.00296,0.68452,0.77778,0.69585,0.57058,0.85719,1.69415,1.08456,0.00101873,0.00101873,0.00101873
31,46.6963,0.52533,0.99888,0.94537,0.6161,0.84987,0.69815,0.52518,0.87498,2.10417,1.15568,0.00100459,0.00100459,0.00100459
32,48.0923,0.63066,1.0243,1.00469,0.69489,0.76641,0.68195,0.53644,0.81991,3.07033,1.17067,0.00099044,0.00099044,0.00099044
33,49.4173,0.58995,0.99861,1.04074,0.66014,0.7629,0.74804,0.54062,0.85947,3.49773,1.18663,0.000976293,0.000976293,0.000976293
34,50.7899,0.54273,0.91505,0.95635,0.62549,0.83173,0.81056,0.59706,0.91314,3.1744,1.15948,0.000962146,0.000962146,0.000962146
35,52.1579,0.58323,0.93125,1.00257,0.65205,0.95833,0.75089,0.58543,0.91418,2.51727,1.05837,0.000947999,0.000947999,0.000947999
36,53.5268,0.61585,0.93791,1.00068,0.68437,0.88889,0.79959,0.69236,0.78569,1.28675,0.99808,0.000933851,0.000933851,0.000933851
37,54.9463,0.59597,0.94307,0.97226,0.70932,0.87633,0.83013,0.71327,0.85333,1.36814,1.04937,0.000919704,0.000919704,0.000919704
38,56.345,0.62795,1.0086,1.00282,0.73886,0.83311,0.74156,0.61203,0.84679,1.32853,1.09477,0.000905557,0.000905557,0.000905557
39,57.8078,0.58398,1.03688,0.9811,0.76544,0.83164,0.70752,0.56825,0.89708,1.3024,1.11041,0.00089141,0.00089141,0.00089141
40,59.2168,0.65317,0.91762,0.98031,0.7688,0.98803,0.94063,0.77198,0.77627,1.09955,1.02622,0.000877263,0.000877263,0.000877263
41,60.5508,0.64487,0.95047,1.04623,0.86578,0.9865,0.995,0.85825,0.7056,1.01394,0.98804,0.000863116,0.000863116,0.000863116
42,61.9533,0.64455,0.89541,0.97417,0.92981,1,0.995,0.83381,0.69378,0.99711,0.97555,0.000848969,0.000848969,0.000848969
43,63.3257,0.61257,0.88951,1.01333,0.95314,0.97645,0.995,0.83055,0.6943,0.89916,0.95563,0.000834822,0.000834822,0.000834822
44,64.7377,0.56625,0.90017,0.96851,0.83473,1,0.995,0.79058,0.76095,0.98916,0.9192,0.000820675,0.000820675,0.000820675
45,66.1105,0.56043,0.94791,0.99437,0.80538,1,0.995,0.8584,0.69895,0.96399,0.8684,0.000806528,0.000806528,0.000806528
46,67.7008,0.55932,0.94136,0.98495,0.78622,0.98368,0.9675,0.79204,0.77799,0.98055,0.95,0.00079238,0.00079238,0.00079238
47,69.1121,0.5874,0.96033,0.99883,0.83631,0.9614,0.9675,0.80937,0.76569,0.86759,0.96704,0.000778233,0.000778233,0.000778233
48,70.4722,0.53722,0.86406,0.96531,0.9031,0.96282,0.9675,0.79328,0.76583,0.76752,0.95618,0.000764086,0.000764086,0.000764086
49,71.9205,0.62488,0.9013,1.00731,0.9814,0.96506,0.995,0.8055,0.76539,0.73447,0.93527,0.000749939,0.000749939,0.000749939
50,73.4438,0.56308,0.86234,0.97662,0.9747,0.96453,0.995,0.82987,0.78745,0.6981,0.97813,0.000735792,0.000735792,0.000735792
51,74.8969,0.61837,1.02322,1.04448,0.93895,0.95937,0.995,0.8249,0.75004,0.78868,0.99506,0.000721645,0.000721645,0.000721645
52,76.339,0.50035,0.83887,0.9371,0.91241,0.91746,0.995,0.85245,0.71395,0.94486,1.0089,0.000707498,0.000707498,0.000707498
53,77.717,0.52096,0.82331,0.97268,0.95334,0.92362,0.995,0.84962,0.68001,0.85649,0.915,0.000693351,0.000693351,0.000693351
54,79.0739,0.50173,0.76431,0.982,0.95886,0.92924,0.995,0.88272,0.66473,0.70131,0.87807,0.000679204,0.000679204,0.000679204
55,80.4886,0.49278,0.73143,0.94934,0.96915,0.93389,0.995,0.87617,0.69367,0.73101,0.88633,0.000665057,0.000665057,0.000665057
56,82.196,0.46764,0.76472,0.95319,0.79364,0.98268,0.951,0.81382,0.76421,0.80869,0.98249,0.000650909,0.000650909,0.000650909
57,83.5622,0.52341,0.73476,0.94838,0.78412,0.99464,0.995,0.82864,0.71385,0.80001,0.94819,0.000636762,0.000636762,0.000636762
58,84.9313,0.52645,0.75288,0.99845,0.82178,0.95184,0.995,0.82441,0.67661,0.81842,0.93372,0.000622615,0.000622615,0.000622615
59,86.432,0.54402,0.78111,0.94671,0.83087,0.96295,0.9675,0.82185,0.67197,0.8005,0.9342,0.000608468,0.000608468,0.000608468
60,87.9219,0.4607,0.69751,0.9588,0.84607,0.84968,0.89392,0.72266,0.77663,0.81195,0.98203,0.000594321,0.000594321,0.000594321
61,89.3475,0.48975,0.69907,0.94017,0.8212,0.84208,0.88508,0.74932,0.76824,0.86485,0.99053,0.000580174,0.000580174,0.000580174
62,91.016,0.49587,0.73907,0.92539,0.77933,0.85476,0.88507,0.75357,0.7787,0.82101,0.99625,0.000566027,0.000566027,0.000566027
63,92.7298,0.51169,0.70779,0.93465,0.80561,0.85633,0.84841,0.73439,0.80618,0.74789,1.00992,0.00055188,0.00055188,0.00055188
