epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,60.5781,0.77123,0.68609,2.09213,0.90144,0.93793,0.94,0.75724,0.64542,0.5711,2.08415,0.000848969,0.000848969,0.000848969
43,61.7862,0.70403,0.63497,1.99586,0.83762,0.99772,0.9675,0.80184,0.62456,0.54511,2.1077,0.000834822,0.000834822,0.000834822
44,63.041,0.72552,0.66586,2.06886,0.93852,0.94723,0.995,0.8598,0.55131,0.56316,1.92856,0.000820675,0.000820675,0.000820675
45,64.2716,0.72384,0.70743,2.20058,0.941,0.96248,0.995,0.88486,0.51074,0.58916,1.83358,0.000806528,0.000806528,0.000806528
46,65.6431,0.70406,0.6711,2.06808,0.95857,0.96618,0.995,0.89554,0.49214,0.54754,1.83504,0.00079238,0.00079238,0.00079238
47,67.0558,0.6846,0.66917,2.02043,0.97206,0.96836,0.995,0.87515,0.49774,0.47428,1.90341,0.000778233,0.000778233,0.000778233
48,68.4865,0.68933,0.64136,2.04264,0.98859,0.96885,0.995,0.86994,0.53983,0.44291,1.92567,0.000764086,0.000764086,0.000764086
49,69.8148,0.63784,0.59095,1.93203,0.98856,0.96614,0.995,0.86935,0.54648,0.44507,1.94175,0.000749939,0.000749939,0.000749939
50,71.3372,0.66363,0.61809,2.07259,0.98705,0.96263,0.995,0.85001,0.52903,0.46716,1.94228,0.000735792,0.000735792,0.000735792
51,72.5922,0.69554,0.68393,1.95848,0.97883,0.96429,0.995,0.8616,0.50664,0.46853,1.95109,0.000721645,0.000721645,0.000721645
52,73.8642,0.63018,0.57526,1.9039,0.9396,0.99019,0.995,0.85503,0.5457,0.45243,1.92404,0.000707498,0.000707498,0.000707498
53,75.1173,0.67205,0.59017,1.93326,0.95124,1,0.995,0.85313,0.56402,0.4499,1.93817,0.000693351,0.000693351,0.000693351
54,76.4907,0.63943,0.58144,1.9203,0.95743,1,0.995,0.85143,0.57315,0.45916,1.98807,0.000679204,0.000679204,0.000679204
55,77.8293,0.59703,0.54222,1.9787,0.95846,1,0.995,0.87923,0.5303,0.4743,2.02147,0.000665057,0.000665057,0.000665057
56,79.0656,0.63166,0.56756,1.97354,0.97769,1,0.995,0.85739,0.45558,0.45132,1.98762,0.000650909,0.000650909,0.000650909
57,80.32,0.6077,0.52866,1.81381,0.97743,1,0.995,0.86336,0.47078,0.43394,1.96717,0.000636762,0.000636762,0.000636762
58,81.5912,0.61675,0.54218,1.91767,0.97197,1,0.995,0.84616,0.50723,0.44374,1.97941,0.000622615,0.000622615,0.000622615
59,82.8422,0.66242,0.60256,1.91955,0.96699,1,0.995,0.84184,0.52527,0.45151,1.9949,0.000608468,0.000608468,0.000608468
60,84.0733,0.63531,0.54082,1.97096,0.9806,0.94159,0.995,0.86349,0.4903,0.42428,1.97232,0.000594321,0.000594321,0.000594321
61,85.2491,0.55828,0.50961,1.83394,0.9723,0.99833,0.995,0.87521,0.5255,0.39409,2.01349,0.000580174,0.000580174,0.000580174
62,86.5302,0.60794,0.55371,1.83798,0.9786,0.99908,0.995,0.86486,0.52309,0.39535,2.0247,0.000566027,0.000566027,0.000566027
63,87.9197,0.56883,0.5099,1.90668,0.97955,1,0.995,0.86524,0.51553,0.4147,2.04069,0.00055188,0.00055188,0.00055188
64,89.2402,0.62719,0.6157,2.02172,0.96617,1,0.995,0.8655,0.4739,0.41156,2.02424,0.000537733,0.000537733,0.000537733
65,90.491,0.5533,0.48636,1.82117,0.96916,1,0.995,0.87304,0.46103,0.40455,2.00133,0.000523586,0.000523586,0.000523586
66,91.657,0.57273,0.5095,2.00505,0.97474,0.99882,0.995,0.88372,0.47106,0.40198,1.99326,0.000509438,0.000509438,0.000509438
67,92.8635,0.52336,0.47976,1.97049,0.98089,1,0.995,0.87775,0.49433,0.40879,2.00866,0.000495291,0.000495291,0.000495291
68,94.0153,0.56004,0.53537,1.86248,0.97557,1,0.995,0.89171,0.46713,0.38389,2.00342,0.000481144,0.000481144,0.000481144
69,95.2314,0.59846,0.57733,1.85786,0.96456,1,0.995,0.86105,0.46007,0.3835,1.99191,0.000466997,0.000466997,0.000466997
70,96.3708,0.66357,0.57764,2.05067,0.97372,0.99655,0.995,0.86187,0.46254,0.38896,1.99763,0.00045285,0.00045285,0.00045285
71,97.5584,0.58638,0.52603,2.04454,0.98273,0.95118,0.995,0.86047,0.46072,0.39794,2.005,0.000438703,0.000438703,0.000438703
72,98.7542,0.55842,0.52565,1.83177,0.98377,0.93529,0.995,0.86402,0.39903,0.42477,1.94268,0.000424556,0.000424556,0.000424556
73,99.9237,0.53326,0.50284,1.87127,0.9834,0.93754,0.995,0.87641,0.41979,0.43246,1.92267,0.000410409,0.000410409,0.000410409
74,101.201,0.56374,0.52106,1.86975,0.97979,0.94191,0.995,0.90269,0.42071,0.43415,1.87932,0.000396262,0.000396262,0.000396262
75,102.455,0.54153,0.5093,1.91645,0.98022,0.93742,0.995,0.90725,0.41369,0.42384,1.84219,0.000382115,0.000382115,0.000382115
76,103.704,0.61232,0.52216,1.93826,0.98534,0.92899,0.995,0.911,0.39391,0.40854,1.81043,0.000367967,0.000367967,0.000367967
77,105.059,0.51122,0.45884,1.85252,0.98732,0.92654,0.995,0.92131,0.38527,0.40836,1.82165,0.00035382,0.00035382,0.00035382
78,106.353,0.53202,0.47347,2.03397,0.98839,0.92484,0.995,0.91595,0.38243,0.41384,1.83287,0.000339673,0.000339673,0.000339673
79,107.717,0.55295,0.48822,1.83394,0.98889,0.9239,0.995,0.91718,0.39103,0.41705,1.83951,0.000325526,0.000325526,0.000325526
80,109.006,0.5649,0.53496,1.90314,0.98998,0.92318,0.995,0.93495,0.41063,0.40337,1.89113,0.000311379,0.000311379,0.000311379
81,110.315,0.48177,0.44236,1.76818,0.98959,0.92435,0.995,0.93491,0.40163,0.39359,1.90897,0.000297232,0.000297232,0.000297232
